"Date","Tournament","Home.Team","Away.Team","Period","Clock","Offense.Team","Defense.Team","Offense.Team.Skaters","Defense.Team.Skaters","Offense.Team.Goals","Defense.Team.Goals","Player","Event","X.Coordinate","Y.Coordinate","Detail.1","Detail.2","Detail.3","Detail.4","Player.2","X.Coordinate.2","Y.Coordinate.2","sequence","pass_cluster"
"14/2/2022","Olympics 2022","Olympic (Women) - Finland","Olympic (Women) - United States",1,911,"Olympic (Women) - Finland","Olympic (Women) - United States",5,5,0,0,"Nelli Laitinen","Play",6,12,"","","","","Sanni Rantala",4,24,2307,2
"14/2/2022","Olympics 2022","Olympic (Women) - Finland","Olympic (Women) - United States",1,912,"Olympic (Women) - Finland","Olympic (Women) - United States",5,5,0,0,"Jenniina Nylund","Play",4,34,"","","","","Nelli Laitinen",9,12,2307,2
"14/2/2022","Olympics 2022","Olympic (Women) - Canada","Olympic (Women) - Switzerland",1,914,"Olympic (Women) - Switzerland","Olympic (Women) - Canada",5,5,0,0,"Nicole Vallario","Play",16,9,"","","","","Nicole Bullo",2,24,2308,2
"14/2/2022","Olympics 2022","Olympic (Women) - Finland","Olympic (Women) - United States",1,915,"Olympic (Women) - Finland","Olympic (Women) - United States",5,5,0,0,"Sanni Rantala","Play",23,18,"","","","","Jenniina Nylund",25,17,2309,2
"14/2/2022","Olympics 2022","Olympic (Women) - Canada","Olympic (Women) - Switzerland",1,916,"Olympic (Women) - Switzerland","Olympic (Women) - Canada",5,5,0,0,"Evelina Raselli","Play",44,20,"","","","","Nicole Vallario",28,20,2310,6
"14/2/2022","Olympics 2022","Olympic (Women) - Canada","Olympic (Women) - Switzerland",1,918,"Olympic (Women) - Canada","Olympic (Women) - Switzerland",5,5,0,0,"Brianne Jenner","Incomplete Play",108,8,"","","","","Sarah Nurse",112,27,2313,4
"14/2/2022","Olympics 2022","Olympic (Women) - Canada","Olympic (Women) - Switzerland",1,920,"Olympic (Women) - Canada","Olympic (Women) - Switzerland",5,5,0,0,"Mich Zandee-Hart","Play",15,13,"","","","","Brianne Jenner",91,8,2317,5
"14/2/2022","Olympics 2022","Olympic (Women) - Canada","Olympic (Women) - Switzerland",1,922,"Olympic (Women) - Canada","Olympic (Women) - Switzerland",5,5,0,0,"Ann-Renee Desbiens","Play",1,42,"","","","","Mich Zandee-Hart",9,16,2318,2
"14/2/2022","Olympics 2022","Olympic (Women) - Finland","Olympic (Women) - United States",1,922,"Olympic (Women) - United States","Olympic (Women) - Finland",5,5,0,0,"Lee Stecklein","Play",42,37,"","","","","Kendall Coyne Schofield",81,27,2319,5
"14/2/2022","Olympics 2022","Olympic (Women) - Canada","Olympic (Women) - Switzerland",1,927,"Olympic (Women) - Canada","Olympic (Women) - Switzerland",5,5,0,0,"Brianne Jenner","Play",70,3,"","","","","Marie-Philip Poulin",55,11,2330,9
"14/2/2022","Olympics 2022","Olympic (Women) - Canada","Olympic (Women) - Switzerland",1,928,"Olympic (Women) - Canada","Olympic (Women) - Switzerland",5,5,0,0,"Mich Zandee-Hart","Incomplete Play",39,4,"","","","","Brianne Jenner",71,6,2330,6
"14/2/2022","Olympics 2022","Olympic (Women) - Canada","Olympic (Women) - Switzerland",1,928,"Olympic (Women) - Canada","Olympic (Women) - Switzerland",5,5,0,0,"Mich Zandee-Hart","Play",44,2,"","","","","Brianne Jenner",70,3,2331,5
"14/2/2022","Olympics 2022","Olympic (Women) - Finland","Olympic (Women) - United States",1,928,"Olympic (Women) - United States","Olympic (Women) - Finland",5,5,0,0,"Cayla Barnes","Play",11,29,"","","","","Kendall Coyne Schofield",40,35,2332,6
"14/2/2022","Olympics 2022","Olympic (Women) - Finland","Olympic (Women) - United States",1,928,"Olympic (Women) - United States","Olympic (Women) - Finland",5,5,0,0,"Kendall Coyne Schofield","Play",50,33,"","","","","Hilary Knight",70,2,2332,5
"14/2/2022","Olympics 2022","Olympic (Women) - Finland","Olympic (Women) - United States",1,931,"Olympic (Women) - United States","Olympic (Women) - Finland",5,5,0,0,"Lee Stecklein","Play",5,20,"","","","","Cayla Barnes",2,35,2332,2
"14/2/2022","Olympics 2022","Olympic (Women) - Canada","Olympic (Women) - Switzerland",1,932,"Olympic (Women) - Canada","Olympic (Women) - Switzerland",5,5,0,0,"Ella Shelton","Play",8,10,"","","","","Mich Zandee-Hart",39,4,2333,6
"14/2/2022","Olympics 2022","Olympic (Women) - Canada","Olympic (Women) - Switzerland",1,935,"Olympic (Women) - Canada","Olympic (Women) - Switzerland",5,5,0,0,"Sarah Nurse","Play",9,13,"","","","","Ella Shelton",4,29,2333,2
"14/2/2022","Olympics 2022","Olympic (Women) - Finland","Olympic (Women) - United States",1,942,"Olympic (Women) - United States","Olympic (Women) - Finland",5,5,0,0,"Lee Stecklein","Incomplete Play",28,35,"","","","","Kendall Coyne Schofield",39,17,2340,6
"14/2/2022","Olympics 2022","Olympic (Women) - Canada","Olympic (Women) - Switzerland",1,945,"Olympic (Women) - Switzerland","Olympic (Women) - Canada",5,5,0,0,"Kaleigh Quennec","Incomplete Play",110,3,"","","","","Noemi Ryhner",124,3,2348,4
"14/2/2022","Olympics 2022","Olympic (Women) - Finland","Olympic (Women) - United States",1,945,"Olympic (Women) - Finland","Olympic (Women) - United States",5,5,0,0,"Viivi Vainikka","Play",130,10,"","","","","Sofianna Sundelin",144,29,2350,3
"14/2/2022","Olympics 2022","Olympic (Women) - Canada","Olympic (Women) - Switzerland",1,947,"Olympic (Women) - Canada","Olympic (Women) - Switzerland",5,5,0,0,"Rebecca Johnston","Incomplete Play",53,5,"","","","","Sarah Nurse",101,39,2351,5
"14/2/2022","Olympics 2022","Olympic (Women) - Canada","Olympic (Women) - Switzerland",1,948,"Olympic (Women) - Canada","Olympic (Women) - Switzerland",5,5,0,0,"Marie-Philip Poulin","Play",21,9,"","","","","Rebecca Johnston",51,7,2352,6
"14/2/2022","Olympics 2022","Olympic (Women) - Finland","Olympic (Women) - United States",1,949,"Olympic (Women) - United States","Olympic (Women) - Finland",5,5,0,0,"Hannah Brandt","Incomplete Play",91,31,"","","","","Kendall Coyne Schofield",100,4,2355,4
"14/2/2022","Olympics 2022","Olympic (Women) - Finland","Olympic (Women) - United States",1,951,"Olympic (Women) - United States","Olympic (Women) - Finland",5,5,0,0,"Kendall Coyne Schofield","Play",79,9,"","","","","Hannah Brandt",78,30,2358,9
"14/2/2022","Olympics 2022","Olympic (Women) - Finland","Olympic (Women) - United States",1,953,"Olympic (Women) - United States","Olympic (Women) - Finland",5,5,0,0,"Lee Stecklein","Play",5,24,"","","","","Kendall Coyne Schofield",51,3,2358,6
"14/2/2022","Olympics 2022","Olympic (Women) - Finland","Olympic (Women) - United States",1,954,"Olympic (Women) - United States","Olympic (Women) - Finland",5,5,0,0,"Cayla Barnes","Play",6,18,"","","","","Lee Stecklein",5,24,2360,2
"14/2/2022","Olympics 2022","Olympic (Women) - Canada","Olympic (Women) - Switzerland",1,956,"Olympic (Women) - Switzerland","Olympic (Women) - Canada",5,5,0,0,"Lara Stalder","Play",70,20,"","","","","Phoebe Staenz",129,7,2361,4
"14/2/2022","Olympics 2022","Olympic (Women) - Finland","Olympic (Women) - United States",1,956,"Olympic (Women) - United States","Olympic (Women) - Finland",5,5,0,0,"Hannah Brandt","Play",28,7,"","","","","Cayla Barnes",8,15,2362,2
"14/2/2022","Olympics 2022","Olympic (Women) - Canada","Olympic (Women) - Switzerland",1,958,"Olympic (Women) - Switzerland","Olympic (Women) - Canada",5,5,0,0,"Alina Muller","Play",21,19,"","","","","Lara Stalder",62,19,2364,6
"14/2/2022","Olympics 2022","Olympic (Women) - Finland","Olympic (Women) - United States",1,961,"Olympic (Women) - Finland","Olympic (Women) - United States",5,5,0,0,"Noora Tulus","Play",136,19,"","","","","Viivi Vainikka",168,19,2370,8
"14/2/2022","Olympics 2022","Olympic (Women) - Finland","Olympic (Women) - United States",1,962,"Olympic (Women) - Finland","Olympic (Women) - United States",5,5,0,0,"Noora Tulus","Incomplete Play",128,5,"","","","","Viivi Vainikka",127,24,2370,3
"14/2/2022","Olympics 2022","Olympic (Women) - Finland","Olympic (Women) - United States",1,965,"Olympic (Women) - Finland","Olympic (Women) - United States",5,5,0,0,"Minnamari Tuominen","Play",13,32,"","","","","Noora Tulus",114,7,2371,5
"14/2/2022","Olympics 2022","Olympic (Women) - Canada","Olympic (Women) - Switzerland",1,966,"Olympic (Women) - Canada","Olympic (Women) - Switzerland",5,5,0,0,"Jocelyne Larocque","Play",106,20,"","","","","Rebecca Johnston",128,9,2372,4
"14/2/2022","Olympics 2022","Olympic (Women) - Canada","Olympic (Women) - Switzerland",1,968,"Olympic (Women) - Canada","Olympic (Women) - Switzerland",5,5,0,0,"Blayre Turnbull","Play",45,5,"","","","","Jocelyne Larocque",56,19,2372,9
"14/2/2022","Olympics 2022","Olympic (Women) - Finland","Olympic (Women) - United States",1,969,"Olympic (Women) - Finland","Olympic (Women) - United States",5,5,0,0,"Noora Tulus","Play",7,23,"","","","","Minnamari Tuominen",3,39,2374,2
"14/2/2022","Olympics 2022","Olympic (Women) - Finland","Olympic (Women) - United States",1,975,"Olympic (Women) - Finland","Olympic (Women) - United States",5,5,0,0,"Minnamari Tuominen","Play",1,28,"","","","","Elisa Holopainen",17,17,2377,2
"14/2/2022","Olympics 2022","Olympic (Women) - Finland","Olympic (Women) - United States",1,975,"Olympic (Women) - Finland","Olympic (Women) - United States",5,5,0,0,"Elisa Holopainen","Play",17,17,"","","","","Noora Tulus",30,28,2377,2
"14/2/2022","Olympics 2022","Olympic (Women) - Finland","Olympic (Women) - United States",1,977,"Olympic (Women) - Finland","Olympic (Women) - United States",5,5,0,0,"Sini Karjalainen","Play",23,4,"","","","","Minnamari Tuominen",7,29,2382,2
"14/2/2022","Olympics 2022","Olympic (Women) - Canada","Olympic (Women) - Switzerland",1,980,"Olympic (Women) - Switzerland","Olympic (Women) - Canada",5,5,0,0,"Alina Muller","Play",57,33,"","","","","Phoebe Staenz",93,40,2383,5
"14/2/2022","Olympics 2022","Olympic (Women) - Finland","Olympic (Women) - United States",1,980,"Olympic (Women) - Finland","Olympic (Women) - United States",5,5,0,0,"Sini Karjalainen","Play",9,11,"","","","","Viivi Vainikka",26,4,2385,2
"14/2/2022","Olympics 2022","Olympic (Women) - Canada","Olympic (Women) - Switzerland",1,982,"Olympic (Women) - Switzerland","Olympic (Women) - Canada",5,5,0,0,"Lara Stalder","Play",33,28,"","","","","Alina Muller",36,33,2386,6
"14/2/2022","Olympics 2022","Olympic (Women) - Canada","Olympic (Women) - Switzerland",1,983,"Olympic (Women) - Switzerland","Olympic (Women) - Canada",5,5,0,0,"Alina Muller","Play",22,40,"","","","","Lara Stalder",33,28,2387,2
"14/2/2022","Olympics 2022","Olympic (Women) - Finland","Olympic (Women) - United States",1,985,"Olympic (Women) - United States","Olympic (Women) - Finland",5,5,0,0,"Savannah Harmon","Play",78,2,"","","","","Kendall Coyne Schofield",115,3,2390,4
"14/2/2022","Olympics 2022","Olympic (Women) - Finland","Olympic (Women) - United States",1,989,"Olympic (Women) - United States","Olympic (Women) - Finland",5,5,0,0,"Megan Bozek","Play",22,31,"","","","","Savannah Harmon",53,5,2391,6
"14/2/2022","Olympics 2022","Olympic (Women) - Canada","Olympic (Women) - Switzerland",1,996,"Olympic (Women) - Canada","Olympic (Women) - Switzerland",5,5,0,0,"Sarah Nurse","Play",189,18,"","","","","Claire Thompson",165,34,2401,7
"14/2/2022","Olympics 2022","Olympic (Women) - Finland","Olympic (Women) - United States",1,997,"Olympic (Women) - Finland","Olympic (Women) - United States",5,5,0,0,"Jenni Hiirikoski","Play",9,10,"","","","","Michelle Karvinen",50,2,2403,6
"14/2/2022","Olympics 2022","Olympic (Women) - Finland","Olympic (Women) - United States",1,1006,"Olympic (Women) - United States","Olympic (Women) - Finland",5,5,0,0,"Hayley Scamurra","Incomplete Play",194,38,"","","","","Jesse Compher",158,29,2414,7
"14/2/2022","Olympics 2022","Olympic (Women) - Canada","Olympic (Women) - Switzerland",1,1007,"Olympic (Women) - Canada","Olympic (Women) - Switzerland",5,5,0,0,"Sarah Nurse","Play",161,23,"","","","","Claire Thompson",137,15,2417,10
"14/2/2022","Olympics 2022","Olympic (Women) - Finland","Olympic (Women) - United States",1,1012,"Olympic (Women) - United States","Olympic (Women) - Finland",5,5,0,0,"Jesse Compher","Play",131,3,"","","","","Hayley Scamurra",199,41,2421,8
"14/2/2022","Olympics 2022","Olympic (Women) - Canada","Olympic (Women) - Switzerland",1,1013,"Olympic (Women) - Canada","Olympic (Women) - Switzerland",5,5,0,0,"Renata Fast","Incomplete Play",191,12,"","","","","Sarah Nurse",174,16,2422,7
"14/2/2022","Olympics 2022","Olympic (Women) - Finland","Olympic (Women) - United States",1,1014,"Olympic (Women) - United States","Olympic (Women) - Finland",5,5,0,0,"Abbey Murphy","Play",192,12,"","","","","Jesse Compher",150,3,2424,10
"14/2/2022","Olympics 2022","Olympic (Women) - Finland","Olympic (Women) - United States",1,1022,"Olympic (Women) - United States","Olympic (Women) - Finland",5,5,0,0,"Hayley Scamurra","Play",197,24,"","","","","Jesse Compher",182,31,2431,7
"14/2/2022","Olympics 2022","Olympic (Women) - Canada","Olympic (Women) - Switzerland",1,1024,"Olympic (Women) - Canada","Olympic (Women) - Switzerland",5,5,0,0,"Emma Maltais","Incomplete Play",134,18,"","","","","Jocelyne Larocque",185,35,2432,8
"14/2/2022","Olympics 2022","Olympic (Women) - Canada","Olympic (Women) - Switzerland",1,1026,"Olympic (Women) - Canada","Olympic (Women) - Switzerland",5,5,0,0,"Laura Stacey","Play",180,9,"","","","","Emma Maltais",138,18,2433,10
"14/2/2022","Olympics 2022","Olympic (Women) - Finland","Olympic (Women) - United States",1,1027,"Olympic (Women) - United States","Olympic (Women) - Finland",5,5,0,0,"Savannah Harmon","Play",151,3,"","","","","Hayley Scamurra",158,5,2434,8
"14/2/2022","Olympics 2022","Olympic (Women) - Canada","Olympic (Women) - Switzerland",1,1029,"Olympic (Women) - Canada","Olympic (Women) - Switzerland",5,5,0,0,"Jillian Saulnier","Play",198,35,"","","","","Laura Stacey",196,35,2435,7
"14/2/2022","Olympics 2022","Olympic (Women) - Finland","Olympic (Women) - United States",1,1030,"Olympic (Women) - United States","Olympic (Women) - Finland",5,5,0,0,"Hayley Scamurra","Play",176,5,"","","","","Savannah Harmon",151,3,2437,10
"14/2/2022","Olympics 2022","Olympic (Women) - Canada","Olympic (Women) - Switzerland",1,1033,"Olympic (Women) - Canada","Olympic (Women) - Switzerland",5,5,0,0,"Laura Stacey","Play",181,5,"","","","","Jillian Saulnier",193,13,2439,7
"14/2/2022","Olympics 2022","Olympic (Women) - Canada","Olympic (Women) - Switzerland",1,1039,"Olympic (Women) - Canada","Olympic (Women) - Switzerland",5,5,0,0,"Jocelyne Larocque","Incomplete Play",131,4,"","","","","Jillian Saulnier",163,6,2446,1
"14/2/2022","Olympics 2022","Olympic (Women) - Canada","Olympic (Women) - Switzerland",1,1041,"Olympic (Women) - Canada","Olympic (Women) - Switzerland",5,5,0,0,"Emma Maltais","Play",165,6,"","","","","Jocelyne Larocque",127,7,2447,10
"14/2/2022","Olympics 2022","Olympic (Women) - Finland","Olympic (Women) - United States",1,1043,"Olympic (Women) - Finland","Olympic (Women) - United States",5,5,0,0,"Ronja Savolainen","Play",22,18,"","","","","Michelle Karvinen",77,28,2448,6
"14/2/2022","Olympics 2022","Olympic (Women) - Canada","Olympic (Women) - Switzerland",1,1045,"Olympic (Women) - Canada","Olympic (Women) - Switzerland",5,5,0,0,"Laura Stacey","Play",151,4,"","","","","Emma Maltais",197,39,2449,8
"14/2/2022","Olympics 2022","Olympic (Women) - Canada","Olympic (Women) - Switzerland",1,1047,"Olympic (Women) - Canada","Olympic (Women) - Switzerland",5,5,0,0,"Renata Fast","Play",102,22,"","","","","Laura Stacey",123,6,2449,4
"14/2/2022","Olympics 2022","Olympic (Women) - Finland","Olympic (Women) - United States",1,1048,"Olympic (Women) - Finland","Olympic (Women) - United States",5,5,0,0,"Jenni Hiirikoski","Play",44,4,"","","","","Ronja Savolainen",2,36,2452,2
"14/2/2022","Olympics 2022","Olympic (Women) - Canada","Olympic (Women) - Switzerland",1,1049,"Olympic (Women) - Canada","Olympic (Women) - Switzerland",5,5,0,0,"Jocelyne Larocque","Play",112,10,"","","","","Renata Fast",101,34,2454,4
"14/2/2022","Olympics 2022","Olympic (Women) - Finland","Olympic (Women) - United States",1,1049,"Olympic (Women) - United States","Olympic (Women) - Finland",5,5,0,0,"Jesse Compher","Incomplete Play",106,5,"","","","","Abbey Murphy",146,3,2455,1
"14/2/2022","Olympics 2022","Olympic (Women) - Finland","Olympic (Women) - United States",1,1051,"Olympic (Women) - United States","Olympic (Women) - Finland",5,5,0,0,"Dani Cameranesi","Play",82,3,"","","","","Jesse Compher",106,5,2459,4
"14/2/2022","Olympics 2022","Olympic (Women) - Finland","Olympic (Women) - United States",1,1053,"Olympic (Women) - United States","Olympic (Women) - Finland",5,5,0,0,"Megan Keller","Play",34,4,"","","","","Dani Cameranesi",78,4,2463,5
"14/2/2022","Olympics 2022","Olympic (Women) - Finland","Olympic (Women) - United States",1,1056,"Olympic (Women) - United States","Olympic (Women) - Finland",5,5,0,0,"Dani Cameranesi","Play",69,4,"","","","","Megan Keller",39,14,2466,9
"14/2/2022","Olympics 2022","Olympic (Women) - Finland","Olympic (Women) - United States",1,1058,"Olympic (Women) - United States","Olympic (Women) - Finland",5,5,0,0,"Cayla Barnes","Play",18,30,"","","","","Dani Cameranesi",64,4,2466,6
"14/2/2022","Olympics 2022","Olympic (Women) - Canada","Olympic (Women) - Switzerland",1,1060,"Olympic (Women) - Switzerland","Olympic (Women) - Canada",5,5,0,0,"Lara Christen","Play",11,26,"","","","","Dominique Ruegg",39,5,2468,6
"14/2/2022","Olympics 2022","Olympic (Women) - Finland","Olympic (Women) - United States",1,1061,"Olympic (Women) - United States","Olympic (Women) - Finland",5,5,0,0,"Kelly Pannek","Play",9,13,"","","","","Cayla Barnes",2,38,2469,2
"14/2/2022","Olympics 2022","Olympic (Women) - Canada","Olympic (Women) - Switzerland",1,1063,"Olympic (Women) - Canada","Olympic (Women) - Switzerland",5,5,0,0,"Sarah Fillier","Incomplete Play",195,31,"","","","","Melodie Daoust",187,9,2472,7
"14/2/2022","Olympics 2022","Olympic (Women) - Canada","Olympic (Women) - Switzerland",1,1064,"Olympic (Women) - Canada","Olympic (Women) - Switzerland",5,5,0,0,"Natalie Spooner","Play",190,10,"","","","","Sarah Fillier",195,23,2475,7
"14/2/2022","Olympics 2022","Olympic (Women) - Finland","Olympic (Women) - United States",1,1065,"Olympic (Women) - United States","Olympic (Women) - Finland",5,5,0,0,"Megan Keller","Incomplete Play",6,39,"","","","","Kelly Pannek",22,38,2479,2
"14/2/2022","Olympics 2022","Olympic (Women) - Canada","Olympic (Women) - Switzerland",1,1068,"Olympic (Women) - Canada","Olympic (Women) - Switzerland",5,5,0,0,"Mich Zandee-Hart","Play",178,5,"","","","","Natalie Spooner",198,35,2481,7
"14/2/2022","Olympics 2022","Olympic (Women) - Finland","Olympic (Women) - United States",1,1071,"Olympic (Women) - Finland","Olympic (Women) - United States",5,5,0,0,"Julia Liikala","Play",60,2,"","","","","Tanja Niskanen",67,11,2490,9
"14/2/2022","Olympics 2022","Olympic (Women) - Canada","Olympic (Women) - Switzerland",1,1072,"Olympic (Women) - Canada","Olympic (Women) - Switzerland",5,5,0,0,"Natalie Spooner","Play",177,17,"","","","","Sarah Fillier",155,29,2491,10
"14/2/2022","Olympics 2022","Olympic (Women) - Finland","Olympic (Women) - United States",1,1074,"Olympic (Women) - Finland","Olympic (Women) - United States",5,5,0,0,"Sanni Rantala","Play",10,7,"","","","","Julia Liikala",49,3,2493,6
"14/2/2022","Olympics 2022","Olympic (Women) - Canada","Olympic (Women) - Switzerland",1,1077,"Olympic (Women) - Switzerland","Olympic (Women) - Canada",5,5,0,0,"Nicole Vallario","Play",4,28,"","","","","Lara Christen",6,36,2495,2
"14/2/2022","Olympics 2022","Olympic (Women) - Finland","Olympic (Women) - United States",1,1082,"Olympic (Women) - Finland","Olympic (Women) - United States",5,5,0,0,"Nelli Laitinen","Play",3,34,"","","","","Julia Liikala",30,22,2506,2
"14/2/2022","Olympics 2022","Olympic (Women) - Canada","Olympic (Women) - Switzerland",1,1086,"Olympic (Women) - Switzerland","Olympic (Women) - Canada",5,5,0,0,"Nicole Vallario","Incomplete Play",4,37,"","","","","Keely Moy",26,10,2511,2
"14/2/2022","Olympics 2022","Olympic (Women) - Finland","Olympic (Women) - United States",1,1088,"Olympic (Women) - Finland","Olympic (Women) - United States",5,5,0,0,"Sanni Rantala","Play",27,6,"","","","","Nelli Laitinen",3,41,2513,2
"14/2/2022","Olympics 2022","Olympic (Women) - Canada","Olympic (Women) - Switzerland",1,1090,"Olympic (Women) - Switzerland","Olympic (Women) - Canada",5,5,0,0,"Lara Christen","Play",63,3,"","","","","Nicole Vallario",10,12,2515,9
"14/2/2022","Olympics 2022","Olympic (Women) - Canada","Olympic (Women) - Switzerland",1,1094,"Olympic (Women) - Canada","Olympic (Women) - Switzerland",5,5,0,0,"Ashton Bell","Incomplete Play",95,42,"","","","","Natalie Spooner",100,28,2521,4
"14/2/2022","Olympics 2022","Olympic (Women) - Canada","Olympic (Women) - Switzerland",1,1096,"Olympic (Women) - Switzerland","Olympic (Women) - Canada",5,5,0,0,"Evelina Raselli","Play",54,9,"","","","","Keely Moy",78,19,2528,5
"14/2/2022","Olympics 2022","Olympic (Women) - Finland","Olympic (Women) - United States",1,1096,"Olympic (Women) - Finland","Olympic (Women) - United States",5,5,0,0,"Tanja Niskanen","Play",180,7,"","","","","Nelli Laitinen",132,3,2530,10
"14/2/2022","Olympics 2022","Olympic (Women) - Canada","Olympic (Women) - Switzerland",1,1098,"Olympic (Women) - Switzerland","Olympic (Women) - Canada",5,5,0,0,"Lara Christen","Play",4,26,"","","","","Evelina Raselli",28,17,2531,2
"14/2/2022","Olympics 2022","Olympic (Women) - Canada","Olympic (Women) - Switzerland",1,1100,"Olympic (Women) - Switzerland","Olympic (Women) - Canada",5,5,0,0,"Sinja Leemann","Play",4,23,"","","","","Lara Christen",3,26,2531,2
"14/2/2022","Olympics 2022","Olympic (Women) - Finland","Olympic (Women) - United States",1,1101,"Olympic (Women) - Finland","Olympic (Women) - United States",5,5,0,0,"Tanja Niskanen","Play",169,20,"","","","","Nelli Laitinen",145,12,2534,10
"14/2/2022","Olympics 2022","Olympic (Women) - Finland","Olympic (Women) - United States",1,1107,"Olympic (Women) - United States","Olympic (Women) - Finland",5,5,0,0,"Abby Roque","Incomplete Play",129,1,"","","","","Alex Carpenter",158,10,2541,1
"14/2/2022","Olympics 2022","Olympic (Women) - Finland","Olympic (Women) - United States",1,1110,"Olympic (Women) - Finland","Olympic (Women) - United States",5,5,0,0,"Nelli Laitinen","Incomplete Play",15,11,"","","","","Sanni Hakala",47,7,2549,6
"14/2/2022","Olympics 2022","Olympic (Women) - Canada","Olympic (Women) - Switzerland",1,1112,"Olympic (Women) - Canada","Olympic (Women) - Switzerland",5,5,0,0,"Erin Ambrose","Incomplete Play",19,5,"","","","","Rebecca Johnston",49,5,2551,6
"14/2/2022","Olympics 2022","Olympic (Women) - Finland","Olympic (Women) - United States",1,1115,"Olympic (Women) - United States","Olympic (Women) - Finland",5,5,0,0,"Megan Keller","Play",7,35,"","","","","Alex Carpenter",84,3,2557,6
"14/2/2022","Olympics 2022","Olympic (Women) - Canada","Olympic (Women) - Switzerland",1,1116,"Olympic (Women) - Switzerland","Olympic (Women) - Canada",5,5,0,0,"Lara Christen","Incomplete Play",179,4,"","","","","Phoebe Staenz",196,35,2559,7
"14/2/2022","Olympics 2022","Olympic (Women) - Canada","Olympic (Women) - Switzerland",1,1119,"Olympic (Women) - Switzerland","Olympic (Women) - Canada",5,5,0,0,"Alina Muller","Play",136,7,"","","","","Lara Stalder",129,28,2560,3
"14/2/2022","Olympics 2022","Olympic (Women) - Canada","Olympic (Women) - Switzerland",1,1122,"Olympic (Women) - Switzerland","Olympic (Women) - Canada",5,5,0,0,"Sinja Leemann","Incomplete Play",157,2,"","","","","Phoebe Staenz",193,13,2564,8
"14/2/2022","Olympics 2022","Olympic (Women) - Canada","Olympic (Women) - Switzerland",1,1124,"Olympic (Women) - Switzerland","Olympic (Women) - Canada",5,5,0,0,"Alina Muller","Play",178,3,"","","","","Sinja Leemann",150,1,2565,10
"14/2/2022","Olympics 2022","Olympic (Women) - Finland","Olympic (Women) - United States",1,1124,"Olympic (Women) - United States","Olympic (Women) - Finland",5,5,0,0,"Abby Roque","Incomplete Play",186,7,"","","","","Savannah Harmon",141,4,2566,10
"14/2/2022","Olympics 2022","Olympic (Women) - Canada","Olympic (Women) - Switzerland",1,1128,"Olympic (Women) - Switzerland","Olympic (Women) - Canada",5,5,0,0,"Lara Stalder","Play",161,4,"","","","","Alina Muller",176,1,2572,8
"14/2/2022","Olympics 2022","Olympic (Women) - Finland","Olympic (Women) - United States",1,1128,"Olympic (Women) - United States","Olympic (Women) - Finland",5,5,0,0,"Abby Roque","Play",142,15,"","","","","Alex Carpenter",147,34,2573,3
"14/2/2022","Olympics 2022","Olympic (Women) - Canada","Olympic (Women) - Switzerland",1,1132,"Olympic (Women) - Switzerland","Olympic (Women) - Canada",5,5,0,0,"Alina Muller","Incomplete Play",110,30,"","","","","Lara Stalder",119,8,2575,4
"14/2/2022","Olympics 2022","Olympic (Women) - Finland","Olympic (Women) - United States",1,1134,"Olympic (Women) - United States","Olympic (Women) - Finland",5,5,0,0,"Megan Keller","Play",4,34,"","","","","Abby Roque",43,3,2578,6
"14/2/2022","Olympics 2022","Olympic (Women) - Canada","Olympic (Women) - Switzerland",1,1137,"Olympic (Women) - Switzerland","Olympic (Women) - Canada",5,5,0,0,"Lara Christen","Play",35,13,"","","","","Phoebe Staenz",53,11,2583,6
"14/2/2022","Olympics 2022","Olympic (Women) - Finland","Olympic (Women) - United States",1,1142,"Olympic (Women) - Finland","Olympic (Women) - United States",5,5,0,0,"Minnamari Tuominen","Play",3,37,"","","","","Elisa Holopainen",22,7,2592,2
"14/2/2022","Olympics 2022","Olympic (Women) - Finland","Olympic (Women) - United States",1,1144,"Olympic (Women) - Finland","Olympic (Women) - United States",5,5,0,0,"Ronja Savolainen","Play",17,4,"","","","","Minnamari Tuominen",1,37,2597,2
"14/2/2022","Olympics 2022","Olympic (Women) - Canada","Olympic (Women) - Switzerland",1,1145,"Olympic (Women) - Switzerland","Olympic (Women) - Canada",5,5,0,0,"Noemi Ryhner","Incomplete Play",24,41,"","","","","Lara Stalder",38,32,2599,6
"14/2/2022","Olympics 2022","Olympic (Women) - Canada","Olympic (Women) - Switzerland",1,1145,"Olympic (Women) - Canada","Olympic (Women) - Switzerland",5,5,0,0,"Blayre Turnbull","Play",168,38,"","","","","Emily Clark",182,38,2601,7
"14/2/2022","Olympics 2022","Olympic (Women) - Canada","Olympic (Women) - Switzerland",1,1147,"Olympic (Women) - Canada","Olympic (Women) - Switzerland",5,5,0,0,"Blayre Turnbull","Play",156,5,"","","","","Erin Ambrose",176,37,2604,8
"14/2/2022","Olympics 2022","Olympic (Women) - Canada","Olympic (Women) - Switzerland",1,1149,"Olympic (Women) - Canada","Olympic (Women) - Switzerland",5,5,0,0,"Erin Ambrose","Play",140,32,"","","","","Blayre Turnbull",147,5,2605,1
"14/2/2022","Olympics 2022","Olympic (Women) - Canada","Olympic (Women) - Switzerland",1,1153,"Olympic (Women) - Canada","Olympic (Women) - Switzerland",5,5,0,0,"Rebecca Johnston","Play",190,18,"","","","","Erin Ambrose",132,12,2610,10
